Product Code,Product Description,Product Category Code,Tharisa PLC (1),Main Catagory (2),Sub Area (3),Product Category Description,Plant Area (4),STAT GROUP (5),STAT GROUP (6),STAT GROUP (7),STAT GROUP (8),Item Status,Statistical Group Code, Statistical Group Code Description , Bin Location , Bin Location Type , Quantity On Order , Stock On Hand , Max Stock QTY , Reorder QTY , Safety Stock QTY ,Moving Average Price, Total Value of Item 
160200190,D.O/LOAD RELAY 80-93A - LRD3365,1602,Plant WH1,General,Consumables,Consumables - Electrical,Relays,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ08208 , RACAR , -   ,3,3, -   , R 3.00 ,"$1,339.12 ","4,017.35"
160200191,LED.PILOT LIGHT GREEN.120V AC COMPLETE - XB4BVG3,1602,Plant WH1,General,Consumables,Consumables - Electrical,Lighting,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ08207 , RACAR , -   ,3,3, -   , R 3.00 ,$126.43 ,379.29
160200192,LED.PILOT LIGHT YELLOW.120VAC  COMPLETE - XB4BVG5,1602,Plant WH1,General,Consumables,Consumables - Electrical,Lighting,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ07201 , RACAR , -   ,3,3, -   , R 3.00 ,$126.43 ,379.29
160200196,LED MODULE,1602,Plant WH1,General,Consumables,Consumables - Electrical,Lighting,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ07202 , RACAR , -   ,3,3, -   , R 3.00 ,$17.10 ,51.3
160200197,BASIC UNIT 2 SIMCODE PRO V,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ07203 , RACAR , -   ,3,3, -   , R 3.00 ,"$5,468.99 ","16,406.96"
160200198,CURRENT MEASURING MODULE (3UF7102-1AA00-0 Current mod 10-100A - Lasrust),1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ07204 , RACAR , -   ,3,3, -   , R 3.00 ,"$1,320.79 ","3,962.38"
160200199,INSTANTANEOUS MS1 250mA E/L/RELAY,1602,Plant WH1,General,Consumables,Consumables - Electrical,Relays,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ07205 , RACAR , -   ,3,3, -   , R 3.00 ,"$1,417.40 ","4,252.20"
160200200,FIELD STATION WITH AMP METER ORANGE 195HX400WX200,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ20501 , RACAR , -   ,12,2, -   , R 2.00 ,"$2,555.30 ","30,663.60"
160200201,MULTI PLUG,1602,Plant WH1,General,Consumables,Consumables - Electrical,Not Allocated,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ10204 , RACAR ,5,1,6, -   , R 4.00 ,$190.00 ,190
160200202,FUSE 700A -170M5813D BUSSMAN,1602,Plant WH1,General,Consumables,Consumables - Electrical,Fuses,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ07206 , RACAR , -   ,4,6, -   , R 4.00 ,$713.02 ,"2,852.08"
160200203,FUSE - 690V 2A14 X 51MM FWP - L/107503,1602,Plant WH1,General,Consumables,Consumables - Electrical,Fuses,N/A 3,N/A 2,N/A 1,,Active,NOR, Normal Stock , AJ07207 , RACAR , -   ,28,30, -   , R 20.00 ,$21.69 ,607.34
